"Cement","Slag","Ash","Water","SuperP","Coarse","Fine","Age","CompressiveStrength","HasAsh","HasSuperP"
540,0,0,162,2.5,1040,676,28,79.99,FALSE,TRUE
540,0,0,162,2.5,1055,676,28,61.89,FALSE,TRUE
332.5,142.5,0,228,0,932,594,270,40.27,FALSE,FALSE
332.5,142.5,0,228,0,932,594,365,41.05,FALSE,FALSE
198.6,132.4,0,192,0,978.4,825.5,360,44.3,FALSE,FALSE
266,114,0,228,0,932,670,90,47.03,FALSE,FALSE
380,95,0,228,0,932,594,365,43.7,FALSE,FALSE
380,95,0,228,0,932,594,28,36.45,FALSE,FALSE
266,114,0,228,0,932,670,28,45.85,FALSE,FALSE
475,0,0,228,0,932,594,28,39.29,FALSE,FALSE
198.6,132.4,0,192,0,978.4,825.5,90,38.07,FALSE,FALSE
198.6,132.4,0,192,0,978.4,825.5,28,28.02,FALSE,FALSE
427.5,47.5,0,228,0,932,594,270,43.01,FALSE,FALSE
190,190,0,228,0,932,670,90,42.33,FALSE,FALSE
304,76,0,228,0,932,670,28,47.81,FALSE,FALSE
380,0,0,228,0,932,670,90,52.91,FALSE,FALSE
139.6,209.4,0,192,0,1047,806.9,90,39.36,FALSE,FALSE
342,38,0,228,0,932,670,365,56.14,FALSE,FALSE
380,95,0,228,0,932,594,90,40.56,FALSE,FALSE
475,0,0,228,0,932,594,180,42.62,FALSE,FALSE
427.5,47.5,0,228,0,932,594,180,41.84,FALSE,FALSE
139.6,209.4,0,192,0,1047,806.9,28,28.24,FALSE,FALSE
139.6,209.4,0,192,0,1047,806.9,3,8.06,FALSE,FALSE
139.6,209.4,0,192,0,1047,806.9,180,44.21,FALSE,FALSE
380,0,0,228,0,932,670,365,52.52,FALSE,FALSE
380,0,0,228,0,932,670,270,53.3,FALSE,FALSE
380,95,0,228,0,932,594,270,41.15,FALSE,FALSE
342,38,0,228,0,932,670,180,52.12,FALSE,FALSE
427.5,47.5,0,228,0,932,594,28,37.43,FALSE,FALSE
475,0,0,228,0,932,594,7,38.6,FALSE,FALSE
304,76,0,228,0,932,670,365,55.26,FALSE,FALSE
266,114,0,228,0,932,670,365,52.91,FALSE,FALSE
198.6,132.4,0,192,0,978.4,825.5,180,41.72,FALSE,FALSE
475,0,0,228,0,932,594,270,42.13,FALSE,FALSE
190,190,0,228,0,932,670,365,53.69,FALSE,FALSE
237.5,237.5,0,228,0,932,594,270,38.41,FALSE,FALSE
237.5,237.5,0,228,0,932,594,28,30.08,FALSE,FALSE
332.5,142.5,0,228,0,932,594,90,37.72,FALSE,FALSE
475,0,0,228,0,932,594,90,42.23,FALSE,FALSE
237.5,237.5,0,228,0,932,594,180,36.25,FALSE,FALSE
342,38,0,228,0,932,670,90,50.46,FALSE,FALSE
427.5,47.5,0,228,0,932,594,365,43.7,FALSE,FALSE
237.5,237.5,0,228,0,932,594,365,39,FALSE,FALSE
380,0,0,228,0,932,670,180,53.1,FALSE,FALSE
427.5,47.5,0,228,0,932,594,90,41.54,FALSE,FALSE
427.5,47.5,0,228,0,932,594,7,35.08,FALSE,FALSE
349,0,0,192,0,1047,806.9,3,15.05,FALSE,FALSE
380,95,0,228,0,932,594,180,40.76,FALSE,FALSE
237.5,237.5,0,228,0,932,594,7,26.26,FALSE,FALSE
380,95,0,228,0,932,594,7,32.82,FALSE,FALSE
332.5,142.5,0,228,0,932,594,180,39.78,FALSE,FALSE
190,190,0,228,0,932,670,180,46.93,FALSE,FALSE
237.5,237.5,0,228,0,932,594,90,33.12,FALSE,FALSE
304,76,0,228,0,932,670,90,49.19,FALSE,FALSE
139.6,209.4,0,192,0,1047,806.9,7,14.59,FALSE,FALSE
198.6,132.4,0,192,0,978.4,825.5,7,14.64,FALSE,FALSE
475,0,0,228,0,932,594,365,41.93,FALSE,FALSE
198.6,132.4,0,192,0,978.4,825.5,3,9.13,FALSE,FALSE
304,76,0,228,0,932,670,180,50.95,FALSE,FALSE
332.5,142.5,0,228,0,932,594,28,33.02,FALSE,FALSE
304,76,0,228,0,932,670,270,54.38,FALSE,FALSE
266,114,0,228,0,932,670,270,51.73,FALSE,FALSE
310,0,0,192,0,971,850.6,3,9.87,FALSE,FALSE
190,190,0,228,0,932,670,270,50.66,FALSE,FALSE
266,114,0,228,0,932,670,180,48.7,FALSE,FALSE
342,38,0,228,0,932,670,270,55.06,FALSE,FALSE
139.6,209.4,0,192,0,1047,806.9,360,44.7,FALSE,FALSE
332.5,142.5,0,228,0,932,594,7,30.28,FALSE,FALSE
190,190,0,228,0,932,670,28,40.86,FALSE,FALSE
485,0,0,146,0,1120,800,28,71.99,FALSE,FALSE
374,189.2,0,170.1,10.1,926.1,756.7,3,34.4,FALSE,TRUE
313.3,262.2,0,175.5,8.6,1046.9,611.8,3,28.8,FALSE,TRUE
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4,FALSE,TRUE
425,106.3,0,151.4,18.6,936,803.7,3,36.3,FALSE,TRUE
375,93.8,0,126.6,23.4,852.1,992.6,3,29,FALSE,TRUE
475,118.8,0,181.1,8.9,852.1,781.5,3,37.8,FALSE,TRUE
469,117.2,0,137.8,32.2,852.1,840.5,3,40.2,FALSE,TRUE
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4,FALSE,TRUE
388.6,97.1,0,157.9,12.1,852.1,925.7,3,28.1,FALSE,TRUE
531.3,0,0,141.8,28.2,852.1,893.7,3,41.3,FALSE,TRUE
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4,FALSE,TRUE
